TXN_ID,DATE,STORE_ID,PROD_ID,UNITS,PRICE
T1021,2026-03-05,S002,P001,1,85000
T1022,2026-03-05,S003,P002,2,1200
T1023,2026-03-05,S004,P003,1,4500
T1024,2026-03-05,S005,P008,3,3500
T1025,2026-03-05,S006,P010,1,1500
T1026,2026-03-06,S007,P002,5,1200
T1027,2026-03-06,S008,P004,1,12000
T1028,2026-03-06,S009,P005,2,25000
T1029,2026-03-06,S010,P001,1,85000
T1030,2026-03-06,S001,P007,4,800
T1031,2026-03-07,S002,P001,2,85000
T1032,2026-03-07,S003,P002,3,1200
T1033,2026-03-07,S004,P003,1,4500
T1034,2026-03-07,S005,P004,1,12000
T1035,2026-03-07,S006,P005,2,25000
T1036,2026-03-08,S007,P006,10,450
T1037,2026-03-08,S008,P007,5,800
T1038,2026-03-08,S009,P008,2,3500
T1039,2026-03-08,S010,P009,4,900
T1040,2026-03-08,S001,P010,1,1500
T1041,2026-03-09,S002,P001,1,85000
T1042,2026-03-09,S003,P002,2,1200
T1043,2026-03-09,S004,P003,1,4500
T1044,2026-03-09,S005,P008,3,3500
T1045,2026-03-09,S006,P010,1,1500
T1046,2026-03-10,S007,P002,5,1200
T1047,2026-03-10,S008,P004,1,12000
T1048,2026-03-10,S009,P005,2,25000
T1049,2026-03-10,S010,P001,1,85000
T1050,2026-03-10,S001,P007,4,800
T1051,2026-03-11,S002,P001,2,85000
T1052,2026-03-11,S003,P002,3,1200
T1053,2026-03-11,S004,P003,1,4500
T1054,2026-03-11,S005,P004,1,12000
T1055,2026-03-11,S006,P005,2,25000
T1056,2026-03-12,S007,P006,10,450
T1057,2026-03-12,S008,P007,5,800
T1058,2026-03-12,S009,P008,2,3500
T1059,2026-03-12,S010,P009,4,900
T1060,2026-03-12,S001,P010,1,1500
T1061,2026-03-13,S002,P001,1,85000
T1062,2026-03-13,S003,P002,2,1200
T1063,2026-03-13,S004,P003,1,4500
T1064,2026-03-13,S005,P008,3,3500
T1065,2026-03-13,S006,P010,1,1500
T1066,2026-03-14,S007,P002,5,1200
T1067,2026-03-14,S008,P004,1,12000
T1068,2026-03-14,S009,P005,2,25000
T1069,2026-03-14,S010,P001,1,85000
T1070,2026-03-14,S001,P007,4,800
T1071,2026-03-15,S002,P001,2,85000
T1072,2026-03-15,S003,P002,3,1200
T1073,2026-03-15,S004,P003,1,4500
T1074,2026-03-15,S005,P004,1,12000
T1075,2026-03-15,S006,P005,2,25000
T1076,2026-03-16,S007,P006,10,450
T1077,2026-03-16,S008,P007,5,800
T1078,2026-03-16,S009,P008,2,3500
T1079,2026-03-16,S010,P009,4,900
T1080,2026-03-16,S001,P010,1,1500
T1081,2026-03-17,S002,P001,1,85000
T1082,2026-03-17,S003,P002,2,1200
T1083,2026-03-17,S004,P003,1,4500
T1084,2026-03-17,S005,P008,3,3500
T1085,2026-03-17,S006,P010,1,1500
T1086,2026-03-18,S007,P002,5,1200
T1087,2026-03-18,S008,P004,1,12000
T1088,2026-03-18,S009,P005,2,25000
T1089,2026-03-18,S010,P001,1,85000
T1090,2026-03-18,S001,P007,4,800
T1091,2026-03-19,S002,P001,2,85000
T1092,2026-03-19,S003,P002,3,1200
T1093,2026-03-19,S004,P003,1,4500
T1094,2026-03-19,S005,P004,1,12000
T1095,2026-03-19,S006,P005,2,25000
T1096,2026-03-20,S007,P006,10,450
T1097,2026-03-20,S008,P007,5,800
T1098,2026-03-20,S009,P008,2,3500
T1099,2026-03-20,S010,P009,4,900
T1100,2026-03-20,S001,P010,1,1500
